	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1									8									8							
2	?								8	7								8	7						
3	?	?																							
4	?	?	?						10			8						8			8				
5	?	?	?	?					10	6		7	6					7	6		7	6			
6	?	?	?	?	?																				
7	?	?	?	?	?	?			6			6			6			6			6			6	
8	?	?	?	?	?	?	?		10	10		9	9		9	9		10	10		9	9		9	9
9	?	?	?	?	?	?	?	?																	
10	?	?	?	?	?	?	?	?	?									8							
11	?	?	?	?	?	?	?	?	?	?								8	7						
12	?	?	?	?	?	?	?	?	?	?	?														
13	?	?	?	?	?	?	?	?	?	?	?	?						8			8				
14	?	?	?	?	?	?	?	?	?	?	?	?	?					7	6		7	6			
15	?	?	?	?	?	?	?	?	?	?	?	?	?	?											
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			6			6			6	
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		10	10		9	9		9	9
18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?								
19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?							
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?						
21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?					
22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?				
23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?			
24	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?		
25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
